# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/81841b21-3124-4bba-b3f3-563705705a5b/treatment
#
# total peaks = 16799
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 182
# genome size = 2000000000
# Total tags = 1635265.0
# Total tags in peaks = 549406.0
# Approximate IP efficiency = 33.60%
# tags per bp = 0.000800
# expected tags per peak = 0.400
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 4.0
# number of putative peaks = 126776
#
# input tag directory = /home/81841b21-3124-4bba-b3f3-563705705a5b/control
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 6
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/81841b21-3124-4bba-b3f3-563705705a5b/treatment -o /home/81841b21-3124-4bba-b3f3-563705705a5b/module_out/mouse_heart_H3K4me3_rep2.homer.txt -i /home/81841b21-3124-4bba-b3f3-563705705a5b/control -style histone
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr6-4180	chr6	51466985	51471923	+	941.7	4938.000	6.000000	154.0	1.7	92.80	4.68e-239	0.98
chr17-1499	chr17	25013332	25017229	+	941.7	3897.000	16.000000	154.0	4.1	37.12	7.57e-179	0.94
chr6-3976	chr6	127148425	127155848	+	929.5	7423.000	7.000000	152.0	5.0	30.53	4.93e-164	0.99
chr9-1091	chr9	101073221	101077440	+	917.3	4219.000	20.000000	150.0	2.5	60.26	3.79e-205	0.92
chr12-2556	chr12	86881777	86884902	+	917.3	3125.000	9.000000	150.0	2.5	60.26	3.79e-205	0.99
chr11-7465	chr11	120185253	120190776	+	911.2	5523.000	7.000000	149.0	3.3	44.89	4.14e-185	0.91
chr14-3521	chr14	25456878	25461872	+	911.2	4994.000	5.000000	149.0	5.8	25.65	5.70e-150	0.93
chr17-5163	chr17	62879373	62883772	+	911.2	4399.000	5.000000	149.0	0.8	179.57	9.58e-274	0.98
chr7-4518	chr7	67950362	67955994	+	898.9	5632.000	9.000000	147.0	3.3	44.29	8.29e-182	0.94
chr14-3130	chr14	21983780	21990365	+	898.9	6585.000	6.000000	147.0	5.0	29.53	1.23e-156	0.92
chr15-1809	chr15	96283992	96289613	+	898.9	5621.000	13.000000	147.0	2.5	59.05	8.14e-200	0.91
chr6-3945	chr6	120035779	120040425	+	892.8	4646.000	7.000000	146.0	2.5	58.65	4.81e-198	0.99
chr13-1608	chr13	17802974	17806028	+	892.8	3054.000	13.000000	146.0	0.8	175.96	5.44e-267	0.94
chr7-5947	chr7	142657047	142664657	+	886.7	7610.000	7.000000	145.0	4.1	34.95	7.99e-165	0.94
chr8-4527	chr8	84659943	84665976	+	886.7	6033.000	7.000000	145.0	4.1	34.95	7.99e-165	0.87
chr7-5130	chr7	82865319	82870628	+	880.6	5309.000	8.000000	144.0	3.3	43.39	7.06e-177	0.94
chr6-2499	chr6	86523580	86527482	+	874.5	3902.000	11.000000	143.0	3.3	43.09	3.06e-175	0.94
chr11-5085	chr11	24075715	24082139	+	874.5	6424.000	10.000000	143.0	8.3	17.23	1.76e-120	0.93
chr12-3921	chr12	108791619	108795734	+	874.5	4115.000	5.000000	143.0	3.3	43.09	3.06e-175	0.94
chr17-5189	chr17	70847866	70854085	+	868.4	6219.000	5.000000	142.0	0.8	171.14	5.00e-258	0.99
chr5-4240	chr5	23431751	23436598	+	862.2	4847.000	9.000000	141.0	4.1	33.99	1.14e-158	0.87
chr5-3145	chr5	142960175	142963866	+	862.2	3691.000	13.000000	141.0	4.1	33.99	1.14e-158	0.93
chr18-1604	chr18	54986354	54993130	+	862.2	6776.000	11.000000	141.0	4.1	33.99	1.14e-158	0.87
chr1-5281	chr1	133130668	133135226	+	856.1	4558.000	6.000000	140.0	3.3	42.18	2.40e-170	0.91
chr12-1990	chr12	27338541	27344201	+	856.1	5660.000	11.000000	140.0	3.3	42.18	2.40e-170	0.98
chr3-2052	chr3	88530939	88535501	+	850.0	4562.000	13.000000	139.0	1.7	83.76	7.55e-210	0.94
chr19-3337	chr19	4395155	4398810	+	850.0	3655.000	5.000000	139.0	1.7	83.76	7.55e-210	0.98
chr7-1587	chr7	19269416	19272909	+	843.9	3493.000	17.000000	138.0	3.3	41.58	4.24e-167	1.01
chr10-1925	chr10	120474291	120478469	+	843.9	4178.000	15.000000	138.0	2.5	55.44	5.54e-184	0.94
chr15-4285	chr15	98868416	98873261	+	843.9	4845.000	5.000000	138.0	5.8	23.76	1.24e-134	1.02
chr19-2292	chr19	8818215	8822520	+	843.9	4305.000	9.000000	138.0	2.5	55.44	5.54e-184	0.99
chr3-1605	chr3	69003996	69007323	+	837.8	3327.000	15.000000	137.0	1.7	82.56	5.26e-206	1.00
chr8-3211	chr8	8658146	8662322	+	837.8	4176.000	10.000000	137.0	1.7	82.56	5.26e-206	0.94
chr9-4785	chr9	114560353	114564874	+	837.8	4521.000	7.000000	137.0	3.3	41.28	1.76e-165	0.93
chr13-1123	chr13	44729460	44734383	+	837.8	4923.000	16.000000	137.0	7.5	18.35	5.10e-119	0.99
chr17-1822	chr17	4993888	4997215	+	837.8	3327.000	14.000000	137.0	0.8	165.11	6.84e-247	1.01
chr15-2476	chr15	81584582	81588150	+	831.7	3568.000	10.000000	136.0	3.3	40.98	7.29e-164	0.98
chr10-4733	chr10	99260898	99266345	+	825.6	5447.000	6.000000	135.0	5.8	23.24	1.63e-130	0.88
chr1-2936	chr1	178527480	178531287	+	819.4	3807.000	12.000000	134.0	2.5	53.83	5.02e-177	0.98
chr8-3961	chr8	11006441	11010039	+	819.4	3598.000	8.000000	134.0	0.8	161.50	3.01e-240	0.93
chr11-9157	chr11	102602680	102608947	+	819.4	6267.000	5.000000	134.0	3.3	40.37	1.21e-160	0.99
chr14-2409	chr14	54573332	54578707	+	819.4	5375.000	9.000000	134.0	5.0	26.92	9.24e-138	0.99
chr1-5425	chr1	178334413	178338382	+	813.3	3969.000	6.000000	133.0	0.8	160.29	4.86e-238	0.92
chr4-4350	chr4	106910027	106913645	+	813.3	3618.000	9.000000	133.0	2.5	53.43	2.70e-175	0.97
chr5-6041	chr5	124351640	124355626	+	813.3	3986.000	6.000000	133.0	4.1	32.06	1.67e-146	1.03
chr6-1388	chr6	99520053	99523989	+	813.3	3936.000	16.000000	133.0	3.3	40.07	4.91e-159	1.05
chr5-6603	chr5	114772154	114775967	+	807.2	3813.000	5.000000	132.0	3.3	39.77	1.97e-157	0.91
chr11-8238	chr11	116850980	116854542	+	807.2	3562.000	6.000000	132.0	3.3	39.77	1.97e-157	0.99
chr12-2419	chr12	12937980	12943065	+	807.2	5085.000	9.000000	132.0	3.3	39.77	1.97e-157	0.93
chr17-4545	chr17	46553589	46557066	+	807.2	3477.000	6.000000	132.0	4.1	31.82	5.35e-145	1.03
chr16-3456	chr16	22160196	22164135	+	801.1	3939.000	4.000000	131.0	1.7	78.94	1.49e-194	0.98
chr8-3418	chr8	89040647	89045654	+	795.0	5007.000	10.000000	130.0	0.8	156.67	1.96e-231	0.99
chr13-2376	chr13	29983117	29986678	+	795.0	3561.000	10.000000	130.0	1.7	78.34	1.18e-192	0.98
chr19-1006	chr19	53310357	53314329	+	795.0	3972.000	17.000000	130.0	2.5	52.22	4.03e-170	0.90
chr5-5876	chr5	100036734	100041008	+	788.9	4274.000	6.000000	129.0	3.3	38.87	1.21e-152	0.98
chr17-4367	chr17	26836662	26842790	+	788.9	6128.000	6.000000	129.0	5.8	22.21	2.30e-122	0.91
chr17-2718	chr17	46029056	46032656	+	788.9	3600.000	11.000000	129.0	4.1	31.09	1.68e-140	1.00
chr4-3139	chr4	54944625	54949651	+	782.7	5026.000	12.000000	128.0	2.5	51.42	1.09e-166	0.67
chr5-1521	chr5	121710946	121714342	+	782.7	3396.000	19.000000	128.0	1.7	77.13	7.17e-189	1.01
chr10-1792	chr10	42274620	42279035	+	782.7	4415.000	15.000000	128.0	0.8	154.26	4.77e-227	0.98
chr11-6621	chr11	97659436	97664978	+	782.7	5542.000	8.000000	128.0	5.8	22.04	5.11e-121	0.87
chr19-1654	chr19	5687779	5691484	+	782.7	3705.000	12.000000	128.0	1.7	77.13	7.17e-189	1.03
chr2-6908	chr2	18044605	18049984	+	776.6	5379.000	6.000000	127.0	3.3	38.26	1.81e-149	1.01
chr9-3359	chr9	44603461	44606381	+	776.6	2920.000	10.000000	127.0	5.0	25.51	8.08e-128	0.94
chr11-6374	chr11	60536114	60540598	+	776.6	4484.000	8.000000	127.0	3.3	38.26	1.81e-149	0.96
chr11-8732	chr11	70652054	70657317	+	776.6	5263.000	5.000000	127.0	1.7	76.53	5.53e-187	0.92
chr16-2268	chr16	18247286	18250762	+	776.6	3476.000	8.000000	127.0	3.3	38.26	1.81e-149	0.93
chr17-3568	chr17	27554753	27559448	+	776.6	4695.000	8.000000	127.0	3.3	38.26	1.81e-149	0.94
chr4-3240	chr4	116074139	116077529	+	770.5	3390.000	12.000000	126.0	0.8	151.85	1.13e-222	0.98
chr5-2879	chr5	3340942	3344883	+	770.5	3941.000	13.000000	126.0	1.7	75.93	4.23e-185	0.93
chr7-3661	chr7	110121229	110124737	+	770.5	3508.000	11.000000	126.0	2.5	50.62	2.86e-163	0.94
chr10-4036	chr10	37135834	37141358	+	770.5	5524.000	7.000000	126.0	5.0	25.31	2.06e-126	1.04
chr11-6806	chr11	3288499	3293327	+	770.5	4828.000	7.000000	126.0	0.4	303.71	2.00e-260	0.98
chr11-447	chr11	77982736	77985727	+	770.5	2991.000	28.000000	126.0	0.8	151.85	1.13e-222	0.94
chr2-7453	chr2	153527785	153530776	+	764.4	2991.000	6.000000	125.0	0.8	150.65	1.71e-220	0.98
chr7-5293	chr7	133121357	133125083	+	758.3	3726.000	8.000000	124.0	2.5	49.81	7.28e-160	0.94
chr10-1022	chr10	13964586	13968476	+	758.3	3890.000	19.000000	124.0	5.0	24.91	1.31e-123	0.93
chr14-2304	chr14	11552244	11556976	+	758.3	4732.000	9.000000	124.0	5.0	24.91	1.31e-123	0.93
chr14-2760	chr14	105893159	105898814	+	758.3	5655.000	8.000000	124.0	2.5	49.81	7.28e-160	0.90
chr16-1143	chr16	50429418	50432919	+	758.3	3501.000	15.000000	124.0	0.8	149.44	2.58e-218	0.92
chr2-6017	chr2	137113377	137117895	+	752.2	4518.000	8.000000	123.0	0.8	148.24	3.85e-216	0.94
chr4-3053	chr4	155219993	155223768	+	752.2	3775.000	13.000000	123.0	3.3	37.06	3.71e-143	0.94
chr17-4709	chr17	88063538	88066968	+	752.2	3430.000	6.000000	123.0	2.5	49.41	3.63e-158	1.03
chr3-1637	chr3	89391765	89396914	+	746.1	5149.000	15.000000	122.0	3.3	36.76	1.38e-141	0.98
chr9-4528	chr9	44879411	44883540	+	746.1	4129.000	7.000000	122.0	4.1	29.41	4.02e-130	0.92
chr15-3566	chr15	61984121	61988676	+	746.1	4555.000	6.000000	122.0	3.3	36.76	1.38e-141	0.92
chr17-2201	chr17	47921908	47925697	+	746.1	3789.000	13.000000	122.0	3.3	36.76	1.38e-141	0.93
chr4-4867	chr4	127021139	127024728	+	739.9	3589.000	8.000000	121.0	4.1	29.17	1.18e-128	0.92
chr7-2327	chr7	144937705	144943757	+	739.9	6052.000	15.000000	121.0	8.3	14.58	5.14e-94	0.85
chr8-1691	chr8	11554991	11559056	+	739.9	4065.000	16.000000	121.0	5.8	20.83	1.10e-111	1.03
chr13-4139	chr13	28949614	28953837	+	739.9	4223.000	5.000000	121.0	4.1	29.17	1.18e-128	0.91
chr18-3155	chr18	84083970	84090495	+	739.9	6525.000	5.000000	121.0	2.5	48.61	8.78e-155	0.75
chr4-2837	chr4	82503812	82507668	+	733.8	3856.000	13.000000	120.0	4.1	28.92	3.45e-127	0.90
chr8-4191	chr8	92354552	92361145	+	733.8	6593.000	8.000000	120.0	3.3	36.16	1.84e-138	0.75
chr11-4694	chr11	69058706	69064363	+	733.8	5657.000	11.000000	120.0	1.7	72.31	7.19e-174	0.80
chr13-3955	chr13	107887696	107891689	+	733.8	3993.000	6.000000	120.0	2.5	48.21	4.27e-153	0.91
chr14-2891	chr14	46881923	46886138	+	733.8	4215.000	7.000000	120.0	1.7	72.31	7.19e-174	0.98
chr17-3595	chr17	29489378	29493108	+	733.8	3730.000	8.000000	120.0	5.8	20.66	2.28e-110	0.94
chr2-7554	chr2	168204709	168208073	+	727.7	3364.000	6.000000	119.0	1.7	71.71	5.20e-172	0.94
chr10-4601	chr10	79853245	79857313	+	727.7	4068.000	6.000000	119.0	0.4	286.84	4.03e-243	0.97
chr13-1864	chr13	24799868	24804222	+	727.7	4354.000	12.000000	119.0	5.0	23.90	1.16e-116	1.01
chr15-3895	chr15	8442036	8446686	+	727.7	4650.000	5.000000	119.0	2.5	47.81	2.06e-151	0.93
chr19-242	chr19	32755901	32759592	+	727.7	3691.000	26.000000	119.0	2.5	47.81	2.06e-151	0.98
chr6-4364	chr6	113075329	113079998	+	721.6	4669.000	6.000000	118.0	2.5	47.40	9.84e-150	0.94
chr8-2154	chr8	26976442	26980190	+	721.6	3748.000	14.000000	118.0	1.7	71.11	3.73e-170	1.04
chr8-4030	chr8	44934387	44939210	+	721.6	4823.000	8.000000	118.0	4.1	28.44	2.86e-124	0.87
chr2-7073	chr2	45108298	45113364	+	715.5	5066.000	6.000000	117.0	4.1	28.20	8.15e-123	0.92
chr2-5988	chr2	128123615	128128688	+	715.5	5073.000	8.000000	117.0	3.3	35.25	8.51e-134	0.98
chr4-3039	chr4	151994521	151997325	+	715.5	2804.000	13.000000	117.0	2.5	47.00	4.67e-148	1.02
chr5-4323	chr5	43232403	43235857	+	715.5	3454.000	9.000000	117.0	3.3	35.25	8.51e-134	0.93
chr11-6566	chr11	88046655	88049907	+	715.5	3252.000	8.000000	117.0	3.3	35.25	8.51e-134	0.96
chr14-2580	chr14	26667638	26670992	+	715.5	3354.000	8.000000	117.0	0.8	141.01	3.61e-203	0.97
chr16-1592	chr16	38087801	38091896	+	715.5	4095.000	12.000000	117.0	2.5	47.00	4.67e-148	0.97
chr17-2122	chr17	27907019	27910375	+	715.5	3356.000	13.000000	117.0	3.3	35.25	8.51e-134	0.88
chr3-3124	chr3	51339215	51342273	+	709.4	3058.000	9.000000	116.0	2.5	46.60	2.19e-146	0.94
chr4-4329	chr4	88030991	88034435	+	709.4	3444.000	9.000000	116.0	5.8	19.97	3.96e-105	0.94
chr7-2701	chr7	25248148	25252198	+	709.4	4050.000	13.000000	116.0	3.3	34.95	3.00e-132	1.01
chr9-3637	chr9	24769920	24775041	+	709.4	5121.000	9.000000	116.0	5.0	23.30	1.55e-112	0.89
chr10-4859	chr10	4386190	4389542	+	709.4	3352.000	5.000000	116.0	0.8	139.80	5.09e-201	1.03
chr10-1502	chr10	118867462	118870569	+	709.4	3107.000	17.000000	116.0	0.4	279.60	9.27e-236	1.01
chr11-6420	chr11	69408579	69412332	+	709.4	3753.000	8.000000	116.0	1.7	69.90	1.87e-166	0.93
chr15-2898	chr15	36606973	36610087	+	709.4	3114.000	8.000000	116.0	2.5	46.60	2.19e-146	0.96
chr15-2136	chr15	36791798	36794968	+	709.4	3170.000	11.000000	116.0	4.1	27.96	2.30e-121	1.06
chr1-3903	chr1	131524891	131529124	+	703.2	4233.000	9.000000	115.0	3.3	34.65	1.05e-130	0.94
chr2-5911	chr2	106692638	106696449	+	703.2	3811.000	8.000000	115.0	4.1	27.72	6.43e-120	0.93
chr11-7386	chr11	106786684	106790228	+	703.2	3544.000	7.000000	115.0	1.7	69.30	1.31e-164	0.91
chr13-3762	chr13	45963018	45966831	+	703.2	3813.000	6.000000	115.0	0.8	138.60	7.11e-199	0.88
chr17-4214	chr17	86166026	86170391	+	703.2	4365.000	7.000000	115.0	1.7	69.30	1.31e-164	1.02
chr1-5446	chr1	181210247	181212804	+	697.1	2557.000	6.000000	114.0	3.3	34.35	3.63e-129	0.94
chr4-6783	chr4	141535832	141539340	+	697.1	3508.000	5.000000	114.0	1.7	68.70	9.06e-163	1.03
chr9-4700	chr9	102717017	102721737	+	697.1	4720.000	7.000000	114.0	5.0	22.90	8.33e-110	0.99
chr12-2120	chr12	101081769	101084701	+	697.1	2932.000	11.000000	114.0	0.8	137.39	9.86e-197	0.94
chr16-2887	chr16	90384977	90389143	+	697.1	4166.000	6.000000	114.0	4.1	27.48	1.78e-118	0.97
chr1-4839	chr1	155097585	155099801	+	691.0	2216.000	7.000000	113.0	0.8	136.19	1.35e-194	0.96
chr5-5046	chr5	131536266	131539233	+	691.0	2967.000	8.000000	113.0	0.8	136.19	1.35e-194	0.98
chr11-1716	chr11	108920319	108923693	+	691.0	3374.000	20.000000	113.0	0.4	272.37	1.98e-228	0.94
chr2-8404	chr2	156838850	156842744	+	684.9	3894.000	5.000000	112.0	5.8	19.28	5.99e-100	0.91
chr6-1736	chr6	49212885	49216193	+	684.9	3308.000	14.000000	112.0	3.3	33.75	4.25e-126	0.93
chr9-4396	chr9	13825408	13828872	+	684.9	3464.000	7.000000	112.0	2.5	44.99	9.83e-140	0.99
chr15-4203	chr15	84852881	84856743	+	684.9	3862.000	5.000000	112.0	1.7	67.49	4.24e-159	0.92
chr17-1554	chr17	35978666	35981225	+	684.9	2559.000	16.000000	112.0	0.4	269.96	5.38e-226	0.99
chr17-4203	chr17	83214497	83218474	+	684.9	3977.000	7.000000	112.0	0.8	134.98	1.84e-192	0.93
chr1-6711	chr1	134559811	134562195	+	678.8	2384.000	4.000000	111.0	0.8	133.78	2.49e-190	0.94
chr3-3110	chr3	38884651	38888588	+	678.8	3937.000	9.000000	111.0	2.5	44.59	4.42e-138	0.91
chr3-2694	chr3	135437698	135441030	+	678.8	3332.000	11.000000	111.0	2.5	44.59	4.42e-138	0.97
chr4-4747	chr4	95049507	95054198	+	678.8	4691.000	8.000000	111.0	1.7	66.89	2.86e-157	0.99
chr8-5167	chr8	120486781	120490919	+	678.8	4138.000	6.000000	111.0	4.1	26.76	3.60e-114	0.91
chr10-1986	chr10	17721559	17725776	+	678.8	4217.000	14.000000	111.0	0.8	133.78	2.49e-190	0.94
chr11-6823	chr11	5096837	5100398	+	678.8	3561.000	7.000000	111.0	5.0	22.30	9.75e-106	0.97
chr12-3034	chr12	71014253	71017591	+	678.8	3338.000	7.000000	111.0	3.3	33.44	1.44e-124	0.92
chr12-3378	chr12	80434285	80437254	+	678.8	2969.000	6.000000	111.0	5.0	22.30	9.75e-106	0.92
chr18-1243	chr18	35829497	35832441	+	678.8	2944.000	13.000000	111.0	5.0	22.30	9.75e-106	0.90
chr18-1283	chr18	61554575	61558146	+	678.8	3571.000	13.000000	111.0	2.5	44.59	4.42e-138	0.93
chr2-6530	chr2	103564914	103570218	+	672.7	5304.000	7.000000	110.0	4.1	26.51	9.65e-113	0.99
chr3-1087	chr3	89960266	89964509	+	672.7	4243.000	18.000000	110.0	3.3	33.14	4.80e-123	1.07
chr3-1329	chr3	144201818	144206159	+	672.7	4341.000	17.000000	110.0	3.3	33.14	4.80e-123	0.89
chr4-6621	chr4	129739796	129743370	+	672.7	3574.000	5.000000	110.0	3.3	33.14	4.80e-123	0.94
chr6-5086	chr6	148943803	148947078	+	672.7	3275.000	5.000000	110.0	1.7	66.29	1.91e-155	0.92
chr8-5402	chr8	47673227	47676628	+	672.7	3401.000	5.000000	110.0	2.5	44.19	1.97e-136	0.94
chr8-5933	chr8	128357013	128361399	+	672.7	4386.000	5.000000	110.0	0.4	265.14	3.89e-221	0.99
chr16-1467	chr16	85800687	85804662	+	672.7	3975.000	13.000000	110.0	0.8	132.57	3.33e-188	0.98
chr17-1382	chr17	35865530	35870002	+	672.7	4472.000	17.000000	110.0	4.1	26.51	9.65e-113	0.99
chr3-2167	chr3	131109996	131113382	+	666.6	3386.000	13.000000	109.0	1.7	65.68	1.27e-153	0.94
chr4-2763	chr4	8689860	8692607	+	666.6	2747.000	13.000000	109.0	4.1	26.27	2.56e-111	0.94
chr6-4726	chr6	67265855	67270163	+	666.6	4308.000	5.000000	109.0	1.7	65.68	1.27e-153	0.93
chr7-4510	chr7	63936000	63940041	+	666.6	4041.000	9.000000	109.0	5.0	21.89	4.81e-103	1.01
chr7-3289	chr7	127024090	127027726	+	666.6	3636.000	12.000000	109.0	3.3	32.84	1.59e-121	0.98
chr8-4495	chr8	79027775	79031462	+	666.6	3687.000	7.000000	109.0	2.5	43.79	8.72e-135	0.98
chr11-8920	chr11	88715175	88719377	+	666.6	4202.000	5.000000	109.0	3.3	32.84	1.59e-121	0.92
chr15-1195	chr15	81855801	81860205	+	666.6	4404.000	16.000000	109.0	3.3	32.84	1.59e-121	0.98
chr2-6692	chr2	152395314	152399618	+	660.4	4304.000	7.000000	108.0	2.5	43.39	3.82e-133	0.94
chr3-1751	chr3	152209383	152213132	+	660.4	3749.000	15.000000	108.0	0.8	130.16	5.80e-184	0.92
chr10-2133	chr10	98913661	98916780	+	660.4	3119.000	14.000000	108.0	4.1	26.03	6.73e-110	0.98
chr13-2668	chr13	37825321	37828290	+	660.4	2969.000	9.000000	108.0	1.7	65.08	8.34e-152	0.98
chr13-3779	chr13	48965421	48969121	+	660.4	3700.000	6.000000	108.0	1.7	65.08	8.34e-152	0.94
chr2-7448	chr2	153442790	153446143	+	654.3	3353.000	6.000000	107.0	4.1	25.79	1.75e-108	0.98
chr2-2957	chr2	180708648	180711336	+	654.3	2688.000	15.000000	107.0	4.1	25.79	1.75e-108	0.98
chr4-6125	chr4	155490861	155493177	+	654.3	2316.000	6.000000	107.0	3.3	32.24	1.70e-118	1.01
chr5-3991	chr5	96160527	96163609	+	654.3	3082.000	10.000000	107.0	2.5	42.99	1.66e-131	0.93
chr5-4412	chr5	99975826	99979703	+	654.3	3877.000	9.000000	107.0	3.3	32.24	1.70e-118	0.94
chr5-2227	chr5	122987280	122990729	+	654.3	3449.000	16.000000	107.0	3.3	32.24	1.70e-118	0.90
chr9-6006	chr9	115307087	115311232	+	654.3	4145.000	5.000000	107.0	1.7	64.48	5.43e-150	0.93
chr10-1547	chr10	7954834	7957539	+	654.3	2705.000	16.000000	107.0	1.7	64.48	5.43e-150	0.93
chr10-5228	chr10	81135389	81138871	+	654.3	3482.000	5.000000	107.0	3.3	32.24	1.70e-118	0.98
