# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/0114084d-4a72-4cef-87b7-263e647b74e0/treatment
#
# total peaks = 17438
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 172
# genome size = 2000000000
# Total tags = 1490767.0
# Total tags in peaks = 668168.0
# Approximate IP efficiency = 44.82%
# tags per bp = 0.000732
# expected tags per peak = 0.366
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 4.0
# number of putative peaks = 135445
#
# input tag directory = /home/0114084d-4a72-4cef-87b7-263e647b74e0/control
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 3
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/0114084d-4a72-4cef-87b7-263e647b74e0/treatment -o /home/0114084d-4a72-4cef-87b7-263e647b74e0/module_out/mouse_heart_H3K4me3_rep1.homer.txt -i /home/0114084d-4a72-4cef-87b7-263e647b74e0/control -style histone
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr13-1248	chr13	63562876	63568752	+	1435.5	5876.000	19.000000	214.0	2.2	96.72	0.00e+00	0.97
chr19-4108	chr19	46499258	46505674	+	1402.0	6416.000	5.000000	209.0	4.4	47.23	2.42e-263	0.97
chr12-2785	chr12	80109372	80116829	+	1388.5	7457.000	10.000000	207.0	8.1	25.52	4.24e-207	0.83
chr11-6308	chr11	96003070	96008472	+	1381.8	5402.000	10.000000	206.0	1.5	139.66	0.00e+00	0.94
chr1-1752	chr1	88276172	88278186	+	1368.4	2014.000	19.000000	204.0	5.9	34.58	3.84e-230	0.94
chr7-7259	chr7	67949943	67955296	+	1355.0	5353.000	6.000000	202.0	3.7	54.78	2.42e-267	0.94
chr10-4041	chr10	80147949	80153195	+	1334.9	5246.000	9.000000	199.0	1.5	134.91	0.00e+00	0.94
chr19-3252	chr19	5796601	5803626	+	1308.1	7025.000	7.000000	195.0	4.4	44.07	4.27e-240	0.93
chr1-4161	chr1	86524903	86529786	+	1287.9	4883.000	10.000000	192.0	5.2	37.19	1.23e-222	0.98
chr9-5641	chr9	57071178	57077873	+	1281.2	6695.000	6.000000	191.0	3.7	51.79	2.45e-248	0.85
chr11-1814	chr11	120233490	120238505	+	1267.8	5015.000	23.000000	189.0	5.2	36.61	6.25e-218	0.98
chr18-3054	chr18	54985324	54993400	+	1267.8	8076.000	6.000000	189.0	7.4	25.63	1.31e-189	0.75
chr8-4347	chr8	84659855	84665932	+	1261.1	6077.000	9.000000	188.0	3.0	63.73	4.21e-261	0.91
chr19-3909	chr19	8817887	8822653	+	1261.1	4766.000	5.000000	188.0	1.5	127.45	4.65e-317	0.96
chr17-4145	chr17	25013137	25017315	+	1254.4	4178.000	8.000000	187.0	3.0	63.39	2.68e-259	0.97
chr11-9185	chr11	24075463	24082560	+	1241.0	7097.000	5.000000	185.0	7.4	25.08	5.47e-184	0.92
chr8-5150	chr8	92354369	92360962	+	1234.3	6593.000	7.000000	184.0	5.9	31.19	8.77e-200	0.91
chr6-3182	chr6	86523301	86527486	+	1187.3	4185.000	11.000000	177.0	3.7	48.00	1.50e-224	1.03
chr5-1783	chr5	136565177	136569299	+	1180.6	4122.000	21.000000	176.0	2.2	79.55	2.82e-261	0.98
chr11-8138	chr11	102602721	102608191	+	1180.6	5470.000	7.000000	176.0	1.5	119.32	5.98e-292	0.93
chr5-4616	chr5	43232102	43236954	+	1173.9	4852.000	10.000000	175.0	0.7	237.28	0.00e+00	0.97
chr13-3220	chr13	28949324	28953938	+	1167.2	4614.000	9.000000	174.0	4.4	39.32	4.71e-206	0.98
chr17-5157	chr17	70847642	70854094	+	1167.2	6452.000	6.000000	174.0	1.5	117.96	8.46e-288	1.01
chr1-3316	chr1	178335204	178338665	+	1160.5	3461.000	13.000000	173.0	1.5	117.28	9.98e-286	0.97
chr4-4794	chr4	127021144	127025489	+	1160.5	4345.000	10.000000	173.0	2.2	78.19	1.39e-255	0.98
chr8-3543	chr8	126589995	126594863	+	1160.5	4868.000	12.000000	173.0	3.7	46.91	7.72e-218	1.01
chr3-4989	chr3	88529510	88535384	+	1153.8	5874.000	6.000000	172.0	2.2	77.74	1.09e-253	0.99
chr6-5062	chr6	127147968	127155531	+	1153.8	7563.000	6.000000	172.0	8.9	19.43	5.33e-153	0.92
chr10-1867	chr10	37135949	37141704	+	1153.8	5755.000	17.000000	172.0	3.7	46.64	3.62e-216	0.92
chr12-2820	chr12	86881610	86884891	+	1147.1	3281.000	10.000000	171.0	5.2	33.12	3.79e-190	0.94
chr18-3488	chr18	82908749	82915365	+	1147.1	6616.000	5.000000	171.0	5.9	28.98	1.50e-180	0.99
chr8-5313	chr8	8656747	8662316	+	1140.4	5569.000	6.000000	170.0	4.4	38.42	1.09e-199	0.91
chr9-3994	chr9	24768109	24775185	+	1133.6	7076.000	10.000000	169.0	5.9	28.64	1.26e-177	0.89
chr11-9823	chr11	102315980	102320620	+	1133.6	4640.000	5.000000	169.0	2.2	76.38	5.04e-248	0.93
chr14-1490	chr14	58070575	58077030	+	1133.6	6455.000	16.000000	169.0	3.7	45.83	3.61e-211	0.75
chr10-2956	chr10	13964317	13968584	+	1120.2	4267.000	12.000000	167.0	4.4	37.74	6.06e-195	0.98
chr11-5450	chr11	120185458	120190735	+	1120.2	5277.000	12.000000	167.0	5.2	32.35	4.41e-184	0.88
chr1-4572	chr1	131524598	131529627	+	1113.5	5029.000	9.000000	166.0	3.0	56.27	5.82e-222	0.97
chr3-3157	chr3	148986526	148991259	+	1113.5	4733.000	12.000000	166.0	1.5	112.54	2.69e-271	0.94
chr11-3088	chr11	98794477	98797884	+	1106.8	3407.000	18.000000	165.0	2.2	74.57	1.65e-240	0.93
chr15-3208	chr15	96283927	96289528	+	1100.1	5601.000	9.000000	164.0	3.7	44.47	6.88e-203	0.88
chr15-2706	chr15	98869257	98872806	+	1100.1	3549.000	11.000000	164.0	2.2	74.12	1.23e-238	1.00
chr12-2499	chr12	27338613	27344315	+	1093.4	5702.000	11.000000	163.0	3.0	55.25	1.02e-216	0.97
chrUn_JH584304-7	chrUn_JH584304	59283	60581	+	1093.4	1298.000	48.000000	163.0	28.0	5.82	3.63e-68	0.94
chr1-5425	chr1	133130532	133135285	+	1080.0	4753.000	7.000000	161.0	4.4	36.38	1.60e-185	0.93
chr7-2906	chr7	16309455	16314657	+	1080.0	5202.000	15.000000	161.0	5.9	27.29	4.82e-166	0.93
chr10-3769	chr10	99260969	99266748	+	1080.0	5779.000	10.000000	161.0	5.2	31.19	4.62e-175	0.97
chr10-4487	chr10	120473853	120478468	+	1073.3	4615.000	8.000000	160.0	1.5	108.47	5.00e-259	0.97
chr14-3003	chr14	21982510	21990324	+	1073.3	7814.000	8.000000	160.0	4.4	36.16	5.82e-184	1.10
chr4-2397	chr4	151994556	151997435	+	1066.6	2879.000	18.000000	159.0	1.5	107.79	5.42e-257	1.03
chr6-5881	chr6	49212576	49218975	+	1066.6	6399.000	4.000000	159.0	5.9	26.95	3.57e-163	0.85
chr10-5507	chr10	42273757	42278696	+	1066.6	4939.000	5.000000	159.0	3.0	53.90	9.15e-210	1.01
chr13-3453	chr13	17802086	17805973	+	1066.6	3887.000	8.000000	159.0	2.2	71.86	2.60e-229	0.94
chr7-6044	chr7	82864930	82870415	+	1059.9	5485.000	8.000000	158.0	2.2	71.41	1.87e-227	0.94
chr5-6548	chr5	100036560	100041267	+	1053.1	4707.000	6.000000	157.0	3.0	53.22	2.64e-206	0.92
chr6-4571	chr6	120035902	120039680	+	1053.1	3778.000	7.000000	157.0	0.7	212.87	7.10e-300	0.99
chr7-3265	chr7	25247625	25251675	+	1046.4	4050.000	14.000000	156.0	6.6	23.50	3.14e-151	0.94
chr5-5225	chr5	121710611	121713892	+	1039.7	3281.000	9.000000	155.0	0.4	420.33	0.00e+00	0.94
chr14-2927	chr14	105893235	105899305	+	1039.7	6070.000	9.000000	155.0	3.7	42.03	3.75e-188	1.02
chr1-3655	chr1	181210112	181212788	+	1033.0	2676.000	12.000000	154.0	1.5	104.40	7.41e-247	0.94
chr8-3885	chr8	34804677	34810524	+	1033.0	5847.000	10.000000	154.0	4.4	34.80	1.18e-174	0.99
chr13-1051	chr13	29983394	29987264	+	1033.0	3870.000	20.000000	154.0	2.2	69.60	4.67e-220	0.94
chr14-1469	chr14	54574343	54578428	+	1033.0	4085.000	16.000000	154.0	3.7	41.76	1.58e-186	0.97
chr15-3479	chr15	81584527	81588466	+	1033.0	3939.000	8.000000	154.0	2.2	69.60	4.67e-220	0.94
chr18-2226	chr18	84084609	84090150	+	1033.0	5541.000	10.000000	154.0	7.4	20.88	9.24e-142	0.99
chr10-4934	chr10	17721404	17726199	+	1026.3	4795.000	6.000000	153.0	2.2	69.15	3.25e-218	0.94
chr11-9529	chr11	77981190	77985360	+	1026.3	4170.000	5.000000	153.0	1.5	103.73	7.73e-245	0.97
chr17-2188	chr17	86166254	86170566	+	1026.3	4312.000	16.000000	153.0	1.5	103.73	7.73e-245	0.94
chr5-5825	chr5	23431078	23436859	+	1019.6	5781.000	7.000000	152.0	3.7	41.22	2.73e-183	1.02
chr11-4423	chr11	94989458	94994582	+	1019.6	5124.000	14.000000	152.0	3.7	41.22	2.73e-183	0.94
chr17-3367	chr17	62879366	62884314	+	1019.6	4948.000	11.000000	152.0	2.2	68.70	2.25e-216	0.93
chr18-3394	chr18	61397176	61401076	+	1019.6	3900.000	5.000000	152.0	1.5	103.05	8.02e-243	0.94
chr3-2978	chr3	69004047	69007735	+	1012.9	3688.000	12.000000	151.0	3.0	51.18	5.45e-196	0.96
chr6-4067	chr6	51467557	51472085	+	1012.9	4528.000	8.000000	151.0	3.0	51.18	5.45e-196	0.99
chr8-5326	chr8	11554580	11559091	+	1012.9	4511.000	6.000000	151.0	6.6	22.75	2.12e-144	0.98
chr7-4509	chr7	63936215	63940164	+	1006.2	3949.000	11.000000	150.0	3.0	50.85	2.79e-194	0.94
chr8-2997	chr8	11006461	11010161	+	1006.2	3700.000	13.000000	150.0	1.5	101.69	8.46e-239	0.99
chr11-4794	chr11	70653172	70656721	+	1006.2	3549.000	13.000000	150.0	4.4	33.90	1.67e-168	0.85
chr12-2140	chr12	71014639	71017683	+	1006.2	3044.000	13.000000	150.0	2.2	67.79	1.05e-212	0.94
chr13-4083	chr13	107887797	107892205	+	1006.2	4408.000	7.000000	150.0	6.6	22.60	4.82e-143	0.93
chr15-3629	chr15	8442200	8446806	+	1006.2	4606.000	7.000000	150.0	3.0	50.85	2.79e-194	0.93
chr16-870	chr16	8829056	8832377	+	1006.2	3321.000	20.000000	150.0	1.5	101.69	8.46e-239	1.00
chr1-3374	chr1	13371830	13375148	+	999.5	3318.000	12.000000	149.0	3.7	40.41	1.88e-178	0.94
chr4-5509	chr4	95049542	95054092	+	999.5	4550.000	8.000000	149.0	0.7	202.03	2.50e-281	0.94
chr11-7023	chr11	3288534	3293650	+	999.5	5116.000	8.000000	149.0	2.2	67.34	7.15e-211	0.93
chr12-2564	chr12	76368792	76372434	+	999.5	3642.000	11.000000	149.0	4.4	33.67	5.67e-167	1.01
chr14-2076	chr14	11552371	11556631	+	999.5	4260.000	12.000000	149.0	2.2	67.34	7.15e-211	1.02
chr14-1731	chr14	25458135	25462259	+	999.5	4124.000	14.000000	149.0	3.0	50.51	1.42e-192	0.98
chr15-2784	chr15	36791585	36794927	+	999.5	3342.000	10.000000	149.0	1.5	101.01	8.61e-237	0.97
chr12-2054	chr12	12938595	12943020	+	992.8	4425.000	13.000000	148.0	0.7	200.67	5.04e-279	0.91
chr17-1080	chr17	4993956	4997750	+	992.8	3794.000	22.000000	148.0	3.0	50.17	7.17e-191	0.98
chr7-7534	chr7	142654345	142662036	+	986.1	7691.000	6.000000	147.0	7.4	19.93	1.40e-132	0.88
chr9-5816	chr9	102716546	102721362	+	986.1	4816.000	6.000000	147.0	4.4	33.22	6.39e-164	0.94
chr10-5740	chr10	81134236	81139131	+	986.1	4895.000	5.000000	147.0	3.7	39.86	3.05e-175	0.94
chr15-3716	chr15	61983980	61988596	+	986.1	4616.000	7.000000	147.0	3.0	49.83	3.60e-189	0.92
chr1-1151	chr1	134560078	134562222	+	972.7	2144.000	23.000000	145.0	0.4	393.21	1.29e-315	0.99
chr9-3157	chr9	61370912	61375348	+	972.7	4436.000	13.000000	145.0	3.0	49.15	8.87e-186	0.94
chr9-3531	chr9	101073282	101077832	+	972.7	4550.000	12.000000	145.0	3.0	49.15	8.87e-186	1.05
chr19-83	chr19	53310486	53314716	+	972.7	4230.000	36.000000	145.0	1.5	98.30	8.61e-229	1.08
chr2-6291	chr2	128122654	128128717	+	965.9	6063.000	9.000000	144.0	3.7	39.05	1.89e-170	0.89
chr7-6214	chr7	133121286	133125070	+	965.9	3784.000	8.000000	144.0	0.7	195.25	7.85e-270	0.97
chr11-9522	chr11	77685236	77688260	+	965.9	3024.000	5.000000	144.0	3.0	48.81	4.36e-184	0.96
chr11-5434	chr11	116851174	116854825	+	965.9	3651.000	12.000000	144.0	0.4	390.50	5.09e-313	0.94
chr17-2614	chr17	88063970	88067271	+	965.9	3301.000	14.000000	144.0	2.2	65.08	9.26e-202	0.94
chr5-5246	chr5	124351856	124355495	+	959.2	3639.000	9.000000	143.0	1.5	96.95	8.26e-225	0.96
chr5-6266	chr5	142959931	142964012	+	959.2	4081.000	7.000000	143.0	3.0	48.47	2.13e-182	1.05
chr12-3384	chr12	108791819	108795078	+	959.2	3259.000	8.000000	143.0	0.7	193.89	1.53e-267	0.94
chr2-7010	chr2	180385451	180391044	+	952.5	5593.000	8.000000	142.0	3.7	38.51	2.86e-167	0.85
chr4-3247	chr4	54944832	54950214	+	952.5	5382.000	14.000000	142.0	3.0	48.13	1.03e-180	0.93
chr6-3042	chr6	148943850	148947115	+	952.5	3265.000	12.000000	142.0	1.5	96.27	8.01e-223	0.94
chr7-5994	chr7	70356930	70362500	+	952.5	5570.000	8.000000	142.0	3.0	48.13	1.03e-180	0.92
chr10-5983	chr10	7954339	7957316	+	952.5	2977.000	4.000000	142.0	2.2	64.18	3.90e-198	0.94
chr16-2824	chr16	22160383	22164251	+	952.5	3868.000	7.000000	142.0	0.7	192.54	2.97e-265	0.98
chr2-7202	chr2	45108272	45113396	+	945.8	5124.000	7.000000	141.0	2.2	63.73	2.50e-196	0.88
chr2-5357	chr2	137113216	137117852	+	945.8	4636.000	11.000000	141.0	2.2	63.73	2.50e-196	0.98
chr3-1177	chr3	52267625	52271117	+	945.8	3492.000	21.000000	141.0	4.4	31.86	7.75e-155	0.98
chr3-2497	chr3	88141569	88145525	+	945.8	3956.000	14.000000	141.0	2.2	63.73	2.50e-196	0.94
chr6-4522	chr6	99520122	99523816	+	945.8	3694.000	7.000000	141.0	2.2	63.73	2.50e-196	0.94
chr2-6224	chr2	106692736	106697300	+	939.1	4564.000	9.000000	140.0	2.2	63.27	1.59e-194	0.94
chr9-1730	chr9	20641711	20645654	+	939.1	3943.000	19.000000	140.0	0.7	189.82	1.09e-260	0.91
chr11-2520	chr11	98202000	98205999	+	939.1	3999.000	20.000000	140.0	3.0	47.46	2.38e-177	0.94
chr13-3693	chr13	89738815	89743068	+	939.1	4253.000	8.000000	140.0	2.2	63.27	1.59e-194	0.94
chr2-7146	chr2	32080814	32085259	+	932.4	4445.000	7.000000	139.0	3.0	47.12	1.13e-175	0.92
chr3-4892	chr3	38884365	38888559	+	932.4	4194.000	6.000000	139.0	3.0	47.12	1.13e-175	0.93
chr3-3291	chr3	89391421	89396913	+	932.4	5492.000	11.000000	139.0	0.7	188.47	2.08e-258	0.98
chr3-5782	chr3	144201289	144206258	+	932.4	4969.000	5.000000	139.0	2.2	62.82	1.01e-192	0.50
chr5-4132	chr5	3340694	3344953	+	932.4	4259.000	11.000000	139.0	1.5	94.23	7.00e-217	0.94
chr5-4342	chr5	114772583	114776141	+	932.4	3558.000	11.000000	139.0	2.2	62.82	1.01e-192	0.99
chr8-4595	chr8	47673343	47676792	+	932.4	3449.000	8.000000	139.0	5.2	26.92	7.60e-143	0.93
chr8-5750	chr8	120486635	120490788	+	932.4	4153.000	6.000000	139.0	1.5	94.23	7.00e-217	0.92
chr12-3983	chr12	101080856	101084492	+	932.4	3636.000	6.000000	139.0	1.5	94.23	7.00e-217	1.02
chr7-4889	chr7	36695470	36699160	+	925.7	3690.000	10.000000	138.0	2.2	62.37	6.34e-191	0.98
chr7-6724	chr7	110121066	110124807	+	925.7	3741.000	7.000000	138.0	0.4	374.23	1.62e-297	0.96
chr8-4685	chr8	80877786	80881362	+	925.7	3576.000	8.000000	138.0	5.2	26.73	2.05e-141	0.94
chr2-7697	chr2	18044170	18049148	+	919.0	4978.000	6.000000	137.0	3.0	46.44	2.49e-172	0.92
chr2-6145	chr2	72977845	72981413	+	919.0	3568.000	9.000000	137.0	3.7	37.15	2.26e-159	0.89
chr4-7078	chr4	82501614	82508151	+	919.0	6537.000	5.000000	137.0	3.7	37.15	2.26e-159	0.92
chr5-3240	chr5	147429606	147432000	+	919.0	2394.000	15.000000	137.0	0.7	185.76	7.33e-254	0.96
chr12-3970	chr12	95691732	95697571	+	919.0	5839.000	6.000000	137.0	2.2	61.92	3.95e-189	0.89
chr13-3905	chr13	44729361	44734290	+	919.0	4929.000	7.000000	137.0	5.2	26.54	5.47e-140	0.91
chr13-2506	chr13	58126726	58129924	+	919.0	3198.000	12.000000	137.0	0.7	185.76	7.33e-254	0.94
chr17-3953	chr17	46553026	46556899	+	919.0	3873.000	9.000000	137.0	3.0	46.44	2.49e-172	0.93
chr1-3762	chr1	59762217	59766520	+	912.3	4303.000	11.000000	136.0	3.7	36.88	8.40e-158	0.94
chr3-2174	chr3	136669224	136672707	+	912.3	3483.000	16.000000	136.0	5.2	26.34	1.45e-138	0.97
chr4-6524	chr4	106909867	106914123	+	912.3	4256.000	6.000000	136.0	2.2	61.47	2.45e-187	0.94
chr7-4796	chr7	19269194	19272862	+	912.3	3668.000	10.000000	136.0	3.7	36.88	8.40e-158	0.94
chr12-3598	chr12	83484828	83489034	+	912.3	4206.000	7.000000	136.0	1.5	92.20	5.73e-211	0.94
chr16-2737	chr16	90385236	90389238	+	912.3	4002.000	8.000000	136.0	3.7	36.88	8.40e-158	0.94
chr17-4606	chr17	35864797	35869840	+	912.3	5043.000	7.000000	136.0	2.2	61.47	2.45e-187	0.92
chr17-5052	chr17	46028155	46033023	+	912.3	4868.000	6.000000	136.0	5.2	26.34	1.45e-138	0.94
chr19-3099	chr19	32755374	32760089	+	912.3	4715.000	8.000000	136.0	5.2	26.34	1.45e-138	0.99
chr2-5858	chr2	153527831	153530745	+	905.6	2914.000	10.000000	135.0	3.0	45.76	5.32e-169	0.97
chr5-4711	chr5	96160112	96163528	+	905.6	3416.000	10.000000	135.0	1.5	91.52	5.29e-209	0.97
chr8-2857	chr8	79027825	79031293	+	905.6	3468.000	14.000000	135.0	2.2	61.02	1.50e-185	0.94
chr10-3107	chr10	80797101	80800429	+	905.6	3328.000	12.000000	135.0	3.7	36.61	3.10e-156	0.94
chr15-4263	chr15	96639700	96643583	+	905.6	3883.000	6.000000	135.0	1.5	91.52	5.29e-209	0.94
chr17-3867	chr17	29489342	29493874	+	905.6	4532.000	9.000000	135.0	5.2	26.15	3.83e-137	0.94
chr19-1029	chr19	5687801	5692443	+	905.6	4642.000	19.000000	135.0	3.0	45.76	5.32e-169	1.00
chr1-3776	chr1	69104888	69108834	+	898.9	3946.000	11.000000	134.0	2.2	60.56	9.18e-184	0.92
chr4-3499	chr4	8689823	8692975	+	898.9	3152.000	13.000000	134.0	3.0	45.42	2.44e-167	0.94
chr13-1356	chr13	45963086	45966701	+	898.9	3615.000	18.000000	134.0	3.0	45.42	2.44e-167	0.91
chr13-4852	chr13	58400147	58403858	+	898.9	3711.000	5.000000	134.0	5.2	25.96	1.00e-135	0.98
chr16-1364	chr16	38087633	38092029	+	898.9	4396.000	16.000000	134.0	4.4	30.28	2.23e-144	0.94
chr17-3772	chr17	15497062	15500842	+	898.9	3780.000	9.000000	134.0	2.2	60.56	9.18e-184	0.50
chr18-2271	chr18	16805659	16810126	+	898.9	4467.000	9.000000	134.0	1.5	90.84	4.84e-207	0.90
chr2-7643	chr2	180330882	180335094	+	892.2	4212.000	7.000000	133.0	2.2	60.11	5.56e-182	0.93
chr4-4191	chr4	155220137	155223772	+	892.2	3635.000	12.000000	133.0	3.0	45.08	1.11e-165	0.94
chr6-1889	chr6	67266183	67270190	+	892.2	4007.000	16.000000	133.0	4.4	30.06	6.74e-143	0.98
chr7-9362	chr7	127231240	127234736	+	892.2	3496.000	4.000000	133.0	3.7	36.07	4.12e-153	0.98
chr8-3350	chr8	47286897	47289751	+	892.2	2854.000	12.000000	133.0	0.7	180.33	8.35e-245	0.94
chr9-5170	chr9	44879110	44883445	+	892.2	4335.000	7.000000	133.0	0.7	180.33	8.35e-245	0.98
chr11-7045	chr11	5097301	5100695	+	892.2	3394.000	8.000000	133.0	2.2	60.11	5.56e-182	0.93
chr11-5824	chr11	98740133	98744518	+	892.2	4385.000	11.000000	133.0	5.2	25.76	2.60e-134	0.99
chr13-3400	chr13	103918791	103922157	+	892.2	3366.000	9.000000	133.0	2.2	60.11	5.56e-182	0.94
chr14-3908	chr14	26667111	26670535	+	892.2	3424.000	5.000000	133.0	2.2	60.11	5.56e-182	0.94
chr17-3638	chr17	47922057	47925918	+	892.2	3861.000	10.000000	133.0	0.7	180.33	8.35e-245	1.00
chr3-5255	chr3	152209145	152213187	+	885.5	4042.000	6.000000	132.0	3.0	44.74	4.99e-164	0.94
chr4-6292	chr4	152007543	152012444	+	885.5	4901.000	7.000000	132.0	5.9	22.37	1.46e-125	0.92
chr10-5294	chr10	118866909	118870357	+	885.5	3448.000	6.000000	132.0	3.0	44.74	4.99e-164	0.98
chr13-3608	chr13	55209945	55214035	+	885.5	4090.000	8.000000	132.0	3.7	35.80	1.49e-151	1.04
chr17-3360	chr17	56583142	56586562	+	885.5	3420.000	11.000000	132.0	4.4	29.83	2.03e-141	0.67
chr17-4386	chr17	83213873	83218705	+	885.5	4832.000	8.000000	132.0	3.0	44.74	4.99e-164	0.94
chr1-4508	chr1	84837494	84840988	+	878.7	3494.000	9.000000	131.0	3.0	44.41	2.23e-162	1.05
chr2-5745	chr2	117119501	117123073	+	878.7	3572.000	10.000000	131.0	3.0	44.41	2.23e-162	0.94
chr6-4865	chr6	72897972	72901026	+	878.7	3054.000	6.000000	131.0	0.7	177.62	2.69e-240	0.94
chr8-5624	chr8	89039757	89044682	+	878.7	4925.000	6.000000	131.0	3.0	44.41	2.23e-162	0.94
chr8-5799	chr8	128357595	128363375	+	878.7	5780.000	6.000000	131.0	3.7	35.52	5.33e-150	0.99
chr9-6528	chr9	115306736	115311238	+	878.7	4502.000	5.000000	131.0	2.2	59.21	2.00e-178	0.98
chr17-966	chr17	24894438	24897348	+	878.7	2910.000	23.000000	131.0	0.7	177.62	2.69e-240	0.92
chr2-8558	chr2	28838876	28841769	+	872.0	2893.000	5.000000	130.0	3.0	44.07	9.92e-161	0.94
chr2-2098	chr2	156839345	156842811	+	872.0	3466.000	21.000000	130.0	2.2	58.76	1.18e-176	0.94
chr3-4961	chr3	84813336	84816153	+	872.0	2817.000	6.000000	130.0	3.0	44.07	9.92e-161	0.98
chr3-5787	chr3	145647842	145654006	+	872.0	6164.000	5.000000	130.0	2.2	58.76	1.18e-176	0.88
chr4-2363	chr4	134922886	134925247	+	872.0	2361.000	18.000000	130.0	1.5	88.13	3.15e-199	0.94
chr5-378	chr5	25497489	25500517	+	872.0	3028.000	32.000000	130.0	1.5	88.13	3.15e-199	0.91
chr8-5125	chr8	85034738	85038904	+	872.0	4166.000	7.000000	130.0	5.9	22.03	7.23e-123	0.90
chr9-3442	chr9	59484636	59487554	+	872.0	2918.000	12.000000	130.0	1.5	88.13	3.15e-199	0.99
chr10-5671	chr10	79853044	79857282	+	872.0	4238.000	5.000000	130.0	3.0	44.07	9.92e-161	0.94
chr10-4355	chr10	79926234	79929569	+	872.0	3335.000	8.000000	130.0	1.5	88.13	3.15e-199	1.00
chr13-3242	chr13	37825235	37828553	+	872.0	3318.000	9.000000	130.0	0.7	176.27	4.78e-238	0.94
